Factories	3
Families	20
Machines	4
SetupType	2

Number of Jobs in each Family
10	2	6	10	3	9	10	2	3	4	6	6	3	7	4	10	2	8	8	7	

Jobs in each Family
0	1	2	3	4	5	6	7	8	9	
10	11	
12	13	14	15	16	17	
18	19	20	21	22	23	24	25	26	27	
28	29	30	
31	32	33	34	35	36	37	38	39	
40	41	42	43	44	45	46	47	48	49	
50	51	
52	53	54	
55	56	57	58	
59	60	61	62	63	64	
65	66	67	68	69	70	
71	72	73	
74	75	76	77	78	79	80	
81	82	83	84	
85	86	87	88	89	90	91	92	93	94	
95	96	
97	98	99	100	101	102	103	104	
105	106	107	108	109	110	111	112	
113	114	115	116	117	118	119	

Total number of jobs
120

Processing times of jobs
7	4	4	6	
7	7	7	4	
2	3	9	3	
2	3	6	1	
9	2	4	5	
9	3	10	10	
7	6	9	3	
8	1	3	8	
7	5	10	2	
4	7	2	5	
8	2	1	6	
8	7	3	4	
2	10	8	4	
3	6	5	6	
6	8	10	8	
7	2	9	5	
3	8	4	3	
9	4	9	4	
6	10	1	3	
3	2	8	9	
4	1	10	6	
7	7	9	10	
3	5	10	10	
5	7	2	10	
8	6	10	2	
1	2	7	6	
4	4	10	3	
7	7	10	5	
4	3	8	2	
6	2	2	10	
10	6	7	3	
8	6	7	6	
4	6	10	1	
2	9	2	10	
4	7	5	8	
8	8	1	7	
1	7	8	5	
1	8	5	7	
10	8	9	7	
9	9	5	7	
10	5	7	5	
6	3	2	7	
5	7	1	3	
2	2	6	9	
3	6	1	10	
10	3	5	9	
2	5	5	5	
9	1	3	2	
1	9	8	6	
5	1	2	4	
9	2	10	6	
6	9	1	2	
7	2	4	5	
8	7	6	9	
8	5	1	10	
9	2	7	1	
1	5	1	1	
5	3	6	4	
8	2	8	8	
6	6	2	2	
2	2	9	10	
3	9	8	4	
6	2	1	4	
1	4	5	8	
5	9	6	5	
2	5	6	10	
2	7	3	1	
4	9	4	6	
4	2	2	8	
6	5	10	7	
5	10	8	4	
4	5	9	5	
2	3	5	1	
2	7	5	2	
2	3	9	10	
1	4	5	8	
9	2	4	3	
6	8	4	5	
6	8	3	2	
4	3	5	1	
6	7	3	10	
3	5	1	1	
6	10	4	10	
6	1	7	9	
6	8	7	6	
3	7	4	5	
5	2	1	5	
7	10	2	8	
7	9	6	10	
9	7	1	7	
2	1	2	3	
5	2	4	2	
6	6	7	10	
2	4	9	6	
9	1	6	3	
9	6	2	4	
6	9	8	4	
2	1	9	10	
10	6	1	10	
5	10	7	6	
6	6	9	5	
5	4	3	1	
9	5	6	7	
3	5	1	7	
6	5	6	1	
10	8	1	3	
7	1	7	3	
10	8	7	2	
10	4	3	9	
7	5	7	6	
10	1	1	10	
5	2	5	2	
6	3	6	10	
5	7	8	9	
8	2	1	5	
9	2	10	10	
3	7	7	1	
3	10	7	4	
4	9	5	10	
7	5	9	8	

Stepup times between Families, where [f][f] represents initial setup time
On machine	1
50	8	15	26	48	34	22	28	6	25	38	10	3	29	44	29	42	1	18	1	
42	31	3	17	25	45	39	35	34	9	26	8	26	4	19	44	48	42	50	50	
21	30	35	39	22	19	9	41	41	17	4	22	38	5	30	33	40	50	41	6	
45	7	28	29	34	20	24	31	50	7	10	6	49	7	2	11	17	2	34	30	
31	6	37	33	7	1	40	44	16	28	27	45	6	35	25	41	46	37	19	10	
48	49	28	40	1	11	19	9	19	20	36	23	50	36	14	48	35	6	11	36	
30	40	19	3	38	35	49	18	38	49	12	50	16	6	19	1	4	28	3	8	
14	15	17	41	19	9	22	41	14	39	24	6	2	13	12	9	32	50	3	41	
40	48	30	41	41	49	33	46	6	23	25	36	37	44	33	23	17	44	17	4	
6	4	17	23	16	23	20	12	14	16	47	50	30	29	41	16	2	10	24	40	
42	35	44	14	1	43	8	6	2	22	3	39	28	2	10	14	18	11	41	3	
1	22	37	36	14	13	25	46	42	42	32	24	1	26	18	36	28	19	20	46	
28	29	43	7	11	49	44	15	12	2	13	15	19	24	22	6	41	26	21	44	
9	44	32	7	19	46	9	41	3	25	50	7	10	46	33	40	46	10	49	31	
16	3	10	37	15	7	49	17	26	25	37	47	39	12	37	28	47	25	19	3	
6	29	49	46	21	17	25	27	37	17	36	47	42	33	23	32	2	7	40	20	
24	30	33	34	24	14	13	49	26	27	16	21	12	34	39	7	36	24	5	34	
50	35	41	16	14	16	49	38	46	24	49	24	19	45	38	4	48	28	30	19	
44	47	24	22	24	39	10	43	34	29	46	1	10	9	18	3	34	35	21	14	
22	40	19	11	41	22	4	17	47	50	26	30	50	11	33	36	4	45	5	33	
On machine	2
27	24	25	21	38	17	24	45	47	12	23	47	50	23	28	18	49	15	31	40	
13	22	42	18	37	15	5	18	31	31	38	42	1	3	38	33	19	18	19	37	
46	13	45	12	27	20	26	43	10	22	10	27	16	40	7	34	13	48	42	14	
39	47	27	15	43	8	1	11	44	24	48	15	50	37	10	26	14	11	13	24	
7	12	50	28	24	29	21	13	42	37	27	11	29	22	39	16	12	30	50	25	
3	26	31	2	39	3	50	44	14	39	42	36	30	49	15	46	32	47	16	41	
21	5	13	3	8	32	16	18	15	9	22	32	30	30	34	33	7	22	9	49	
43	37	8	48	20	30	35	44	13	34	32	12	5	23	11	41	50	7	17	33	
2	32	13	32	4	27	16	15	23	25	8	44	11	27	19	37	36	4	46	24	
50	12	40	31	47	13	47	50	2	23	4	35	19	6	31	46	46	22	17	45	
36	26	33	10	42	39	41	34	42	47	36	12	21	3	22	22	7	45	35	11	
29	38	25	49	42	15	43	5	26	4	49	46	25	1	7	31	16	27	40	15	
41	5	47	25	2	43	38	4	45	5	26	1	16	42	17	30	19	13	17	14	
41	40	13	45	40	29	44	2	15	35	3	25	15	4	7	5	28	36	23	49	
47	46	25	14	15	11	34	1	34	35	40	16	29	50	9	14	35	34	20	6	
9	18	38	3	10	4	15	33	44	50	46	41	7	16	21	5	22	32	20	15	
42	46	3	14	45	37	27	44	4	10	6	18	50	14	3	10	15	46	36	13	
44	36	15	16	19	1	24	34	28	43	32	44	50	30	3	17	50	33	6	37	
17	45	2	19	34	10	13	50	14	20	25	45	45	10	38	22	21	45	30	24	
48	31	6	36	19	2	50	27	40	1	42	34	26	15	50	1	34	42	32	49	
On machine	3
17	32	24	47	46	20	30	46	23	34	39	47	32	15	24	15	43	8	44	13	
48	11	16	35	13	4	7	23	5	47	13	25	48	4	40	47	5	46	5	47	
39	9	21	22	3	47	7	24	27	46	43	44	25	41	12	46	46	38	38	25	
7	41	47	50	10	23	7	28	29	36	49	47	23	36	16	6	12	43	28	35	
33	8	17	23	46	35	50	27	47	16	42	34	35	9	25	43	14	42	39	1	
13	2	2	15	5	6	48	31	9	37	17	42	10	6	28	13	49	22	21	35	
45	26	3	2	22	47	25	24	18	46	23	15	19	38	21	21	15	15	45	18	
3	9	18	27	25	50	18	33	16	48	19	14	31	50	27	38	36	22	45	22	
27	18	15	26	36	21	20	39	22	4	25	47	13	8	15	16	14	16	24	12	
42	37	5	16	26	40	6	25	18	28	39	42	18	10	41	15	13	25	27	12	
47	13	37	3	21	12	46	10	38	10	47	31	50	32	15	50	8	28	34	2	
40	14	43	11	19	18	47	19	44	9	45	49	14	34	4	50	3	17	47	29	
19	23	25	17	4	23	49	48	5	44	10	36	33	22	15	32	33	9	48	35	
36	31	29	10	16	21	17	19	48	33	32	38	8	9	34	36	35	49	32	19	
38	2	2	29	42	30	17	12	24	27	13	48	5	28	19	14	18	31	4	37	
23	20	11	24	36	6	37	43	16	17	6	26	4	14	48	12	3	30	45	34	
21	36	30	50	34	24	27	19	36	48	45	19	5	20	16	49	41	18	48	35	
15	32	49	9	48	26	20	36	37	14	1	39	25	30	7	44	8	22	32	45	
7	43	7	22	49	25	33	33	26	15	1	33	27	9	10	27	22	15	13	44	
3	38	20	8	38	19	40	34	15	22	2	13	37	17	29	10	23	23	1	16	
On machine	4
38	29	35	14	43	6	41	18	28	39	9	39	23	44	27	13	37	12	8	37	
2	45	23	42	21	20	34	4	21	38	43	50	3	30	8	16	17	20	48	27	
12	8	6	44	18	17	49	13	11	16	31	27	43	7	34	15	2	4	30	30	
36	41	7	8	22	15	12	11	12	21	36	36	42	44	25	24	47	47	30	47	
10	7	45	31	25	43	31	35	48	47	15	9	17	18	5	22	44	48	30	2	
36	39	2	4	22	21	37	36	36	20	22	40	12	6	23	4	45	49	6	34	
42	15	23	1	12	5	38	47	11	45	28	45	10	22	28	30	32	12	22	43	
19	36	26	11	10	19	10	40	45	7	12	6	11	4	22	5	28	20	46	45	
43	2	9	21	15	18	28	3	42	34	22	15	11	31	32	16	1	32	2	40	
30	13	15	38	7	44	18	12	18	13	33	4	25	45	31	3	45	7	42	2	
22	27	38	47	37	37	48	20	2	15	15	46	33	13	6	4	15	10	37	38	
12	34	29	31	32	20	36	2	3	15	10	50	35	26	22	40	18	4	3	45	
20	36	38	23	28	18	43	37	9	48	23	20	21	15	13	49	37	35	3	21	
5	36	24	38	24	47	14	19	48	46	46	6	5	29	7	47	6	3	2	10	
32	30	10	36	30	3	34	28	21	50	16	37	30	32	32	6	8	8	19	19	
41	10	11	23	39	13	50	47	32	14	2	4	31	34	49	27	5	10	12	36	
48	23	10	20	49	44	1	9	49	25	19	45	49	40	36	39	15	16	29	12	
34	22	25	22	18	14	11	33	38	47	39	30	38	43	43	25	47	10	48	14	
23	44	26	30	3	15	31	23	2	21	43	1	34	35	43	44	34	44	3	23	
2	10	39	22	12	30	3	2	50	40	14	46	3	13	43	27	33	46	20	35	
